49140,320
9117,247
10524,434
7728,429
3327,547
5113,109
5433,797
4612,801
5681,210
7362,235
11818,985
29812,371
21236,222
12618,370
8348,593
8921,491
3171,962
4491,658
4752,284
5269,118
6209,086
9320,473
15007,831
38449,368
25119,086
22406,458
10591,402
5718,958
5163,090
4783,709
5057,657
5613,880
6596,666
10001,340
24867,472
36844,598
38527,528
10540,047
13128,429
4061,020
5510,859
5722,927
5834,747
5253,281
8918,319
17273,463
40715,250
37023,502
13591,385
5111,794
8373,200
5063,053
5052,988
5648,437
4784,111
7190,559
15703,276
31012,624
42678,648
24008,416
